base_id,place,latitude,longitude,poi_Transportation Facilities,poi_Leisure & Entertainment,poi_Companies & Enterprises,poi_Healthcare,poi_Commercial & Residential,poi_Tourist Attractions,poi_Automotive,poi_Life Services,poi_Science & Education & Culture,poi_Shopping & Consumer Goods,poi_Sports & Fitness,poi_Hotels & Accommodations,poi_Financial Institutions,poi_Dining & Cuisine
28231,鹤纪摄影(3DMIMO),28.67901,115.89172,28,37,10,19,24,12,0,120,30,218,16,39,3,210
28232,鹤纪摄影(3DMIMO),28.678927,115.891722,27,37,10,19,24,13,0,120,29,218,16,39,3,212
28233,鹤纪摄影(3DMIMO),28.678935,115.891698,28,38,10,19,25,12,0,120,29,220,16,39,4,211
28234,恒茂写字楼(3DMIMO),28.67334,115.90194,40,7,62,22,19,1,7,73,31,282,6,75,31,172
28235,恒茂写字楼,28.67366,115.901585,35,6,57,20,21,1,6,73,30,239,6,79,26,163
28236,恒茂写字楼,28.67336,115.90192,40,7,62,22,19,1,7,72,31,274,6,76,31,171
28237,恒茂写字楼(3DMIMO),28.67334,115.90194,40,7,62,22,19,1,7,73,31,282,6,75,31,172
28238,昌东航空城腾飞大道与猎鹰三路交界景观塔,28.736733,116.108453,0,0,1,0,0,0,0,0,0,0,0,0,0,1
28239,昌东航空城腾飞大道与猎鹰三路交界景观塔,28.736733,116.108453,0,0,1,0,0,0,0,0,0,0,0,0,0,1
28240,昌东航空城腾飞大道与猎鹰三路交界景观塔,28.736733,116.108453,0,0,1,0,0,0,0,0,0,0,0,0,0,1
28241,昌北区港口大道E,28.81032,115.933828,3,0,2,2,2,1,0,2,0,1,0,0,0,2
28242,昌北区港口大道E,28.81032,115.93383,3,0,2,2,2,1,0,2,0,1,0,0,0,2
28243,昌北区港口大道E,28.81032,115.93383,3,0,2,2,2,1,0,2,0,1,0,0,0,2
28244,昌北区赣江绿地中央公园,28.793021,115.946984,0,0,0,0,1,0,0,0,0,0,0,2,1,0
28245,昌北区赣江绿地中央公园,28.793125,115.947062,0,0,0,0,1,0,0,0,0,0,0,2,1,0
28246,一附院赣江新区工地应急车,28.8026,115.93858,0,0,0,3,1,0,0,0,0,0,0,0,0,0
28247,一附院赣江新区工地应急车,28.8026,115.93858,0,0,0,3,1,0,0,0,0,0,0,0,0,0
28248,一附院赣江新区工地应急车,28.8026,115.93858,0,0,0,3,1,0,0,0,0,0,0,0,0,0
28249,昌北区电力职业学院西门口景观塔,28.721013,115.798378,4,0,16,3,5,0,1,6,8,9,2,2,0,12
28250,昌北区电力职业学院西门口景观塔,28.720938,115.798902,3,0,14,3,6,0,1,6,10,9,2,2,0,13
28251,昌北区电力职业学院西门口景观塔,28.720998,115.798375,4,0,16,3,5,0,1,6,8,9,2,2,0,12
28252,临空区国微企业园(3DMIMO),28.823345,115.945483,2,1,17,0,2,0,0,0,0,0,0,0,0,0
28253,临空区国微企业园(3DMIMO),28.823308,115.945477,2,1,17,0,2,0,0,0,0,0,0,0,0,0
28254,赣江北大道珠江路口景观塔,28.7073,115.878,6,0,1,0,0,0,2,2,6,4,0,0,0,4
28255,赣江北大道珠江路口景观塔,28.7073,115.878,6,0,1,0,0,0,2,2,6,4,0,0,0,4
28256,赣江北大道珠江路口景观塔,28.70763,115.877547,9,1,1,1,0,0,2,2,8,4,0,0,0,4
28257,红谷滩沙井路丰泽路景观塔(3DMIMO),28.700022,115.845837,34,12,42,30,13,0,9,81,36,103,6,5,14,118
28258,红谷滩沙井路丰泽路景观塔,28.699888,115.845813,34,12,42,30,13,0,9,93,38,116,7,5,15,138
28259,红谷滩沙井路丰泽路景观塔,28.699893,115.845818,34,12,42,30,13,0,9,93,38,116,7,5,15,138
28260,红谷滩沙井路丰泽路景观塔,28.700007,115.845742,34,12,42,31,13,0,9,81,36,106,7,5,14,120
28261,红谷滩沙井路丰泽路景观塔(3DMIMO),28.700022,115.845837,34,12,42,30,13,0,9,81,36,103,6,5,14,118
28262,红谷滩沙井路丰泽路景观塔(3DMIMO),28.700022,115.845837,34,12,42,30,13,0,9,81,36,103,6,5,14,118
28263,南昌县恒大城北,28.577667,115.863448,0,0,3,0,0,0,0,1,2,4,1,0,0,0
28264,南昌县恒大城北,28.577667,115.863448,0,0,3,0,0,0,0,1,2,4,1,0,0,0
28265,南昌县恒大城北,28.577667,115.863448,0,0,3,0,0,0,0,1,2,4,1,0,0,0
28266,昌北机场管理局景观塔,28.84901,115.906417,0,0,6,1,1,0,0,0,0,0,1,0,0,0
28267,昌北机场管理局景观塔,28.84901,115.906417,0,0,6,1,1,0,0,0,0,0,1,0,0,0
28268,昌北机场管理局景观塔,28.84901,115.906417,0,0,6,1,1,0,0,0,0,0,1,0,0,0
28269,九龙湖九龙大道与上饶大街交界处景观塔(3DMIMO),28.609138,115.793748,8,1,23,0,5,0,2,6,3,7,1,0,0,22
28270,九龙湖九龙大道与上饶大街交界处景观塔(3DMIMO),28.609138,115.793748,8,1,23,0,5,0,2,6,3,7,1,0,0,22
28271,九龙湖九龙大道与上饶大街交界处景观塔(3DMIMO),28.60915,115.793853,8,1,23,0,5,0,2,7,3,7,1,0,0,24
28272,九龙湖九龙大道与上饶大街交界处景观塔,28.608953,115.79385,8,1,18,0,4,0,2,6,3,4,0,0,0,13
28273,九龙湖九龙大道与上饶大街交界处景观塔,28.609062,115.793832,8,1,23,0,5,0,2,6,3,5,1,0,0,19
28274,九龙湖九龙大道与上饶大街交界处景观塔,28.608953,115.79385,8,1,18,0,4,0,2,6,3,4,0,0,0,13
28275,前湖迎宾3号楼北景观站,28.65731,115.80057,7,1,0,0,0,1,0,0,2,1,0,5,0,0
28276,前湖迎宾3号楼北景观站,28.65731,115.80057,7,1,0,0,0,1,0,0,2,1,0,5,0,0
28277,前湖迎宾3号楼北景观站,28.657273,115.800513,6,1,0,0,0,1,0,0,2,1,0,5,0,0
28278,东湖区省环保厅综合楼,28.703242,115.919548,10,0,14,2,10,2,30,21,5,25,3,1,5,25
28279,东湖区省环保厅综合楼,28.703242,115.919548,10,0,14,2,10,2,30,21,5,25,3,1,5,25
28280,东湖区省环保厅综合楼,28.703033,115.919587,10,0,14,1,10,2,30,20,6,24,3,1,5,24
28281,南昌小商品城东景观站,28.607337,115.837102,12,1,52,5,7,2,7,37,2,155,1,15,4,48
28282,象湖抚生南路B景观站,28.607383,115.844448,14,1,7,2,2,0,2,28,1,283,0,0,2,17
28283,昌九26km,28.89751,115.8378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28284,昌九26km,28.897615,115.837963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28285,昌九26km,28.897712,115.837933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28286,昌九30km,28.921165,115.820718,0,0,3,0,0,0,0,1,0,0,0,0,0,0
28287,昌九30km,28.92117,115.82074,0,0,3,0,0,0,0,1,0,0,0,0,0,0
28288,昌九30km,28.92117,115.82074,0,0,3,0,0,0,0,1,0,0,0,0,0,0
28289,昌九32km,28.93572,115.815665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28290,昌九32km,28.93572,115.815665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28291,昌九32km,28.93572,115.815665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28292,新建昌九28km,28.908273,115.828981,1,0,1,0,0,0,0,0,0,0,0,1,0,0
28293,新建昌九28km,28.908273,115.828981,1,0,1,0,0,0,0,0,0,0,0,1,0,0
