app_cate_id,bin_index,left,right,count,share,method_used,bins_effective,interval
19,4,1282.0,1723.0,4901,0.0992466890769916,quantile,10,"[1282.0, 1723.0)"
19,5,1723.0,1879.0,4995,0.1011502166781418,quantile,10,"[1723.0, 1879.0)"
19,6,1879.0,2389.0,4945,0.1001377019966789,quantile,10,"[1879.0, 2389.0)"
19,7,2389.0,3553.0,4935,0.0999351990603863,quantile,10,"[2389.0, 3553.0)"
19,8,3553.0,5325.6,4942,0.1000769511157911,quantile,10,"[3553.0, 5325.6)"
19,9,5325.6,10835.8,4938,0.0999959499412741,quantile,10,"[5325.6, 10835.8)"
19,10,10835.8,12040532.0,4938,0.0999959499412741,quantile,10,"[10835.8, 12040532.0)"
20,1,232.0,550.5,308,0.1000974975625609,quantile,10,"[232.0, 550.5)"
20,2,550.5,872.6,308,0.1000974975625609,quantile,10,"[550.5, 872.6)"
20,3,872.6,1054.1,308,0.1000974975625609,quantile,10,"[872.6, 1054.1)"
20,4,1054.1,1426.0,289,0.0939226519337016,quantile,10,"[1054.1, 1426.0)"
20,5,1426.0,1743.0,317,0.103022424439389,quantile,10,"[1426.0, 1743.0)"
20,6,1743.0,2279.0,317,0.103022424439389,quantile,10,"[1743.0, 2279.0)"
20,7,2279.0,3198.2,307,0.0997725056873578,quantile,10,"[2279.0, 3198.2)"
20,8,3198.2,5422.6,308,0.1000974975625609,quantile,10,"[3198.2, 5422.6)"
20,9,5422.6,12148.6,308,0.1000974975625609,quantile,10,"[5422.6, 12148.6)"
20,10,12148.6,1176713.0,307,0.0997725056873578,quantile,10,"[12148.6, 1176713.0)"
