region_id,lon_center,lat_center,Transportation Facilities,Leisure & Entertainment,Companies & Enterprises,Healthcare,Commercial & Residential,Tourist Attractions,Automotive,Life Services,Science & Education & Culture,Shopping & Consumer Goods,Sports & Fitness,Hotels & Accommodations,Financial Institutions,Dining & Cuisine
91,116.415,39.885,0.077,0.037,0.066,0.059,0.086,0.109,0.03,0.073,0.057,0.209,0.046,0.06,0.022,0.068
92,116.425,39.885,0.084,0.082,0.082,0.034,0.101,0.021,0.062,0.076,0.075,0.049,0.088,0.139,0.049,0.056
93,116.435,39.885,0.099,0.012,0.092,0.076,0.128,0.057,0.057,0.068,0.083,0.033,0.086,0.066,0.058,0.085
94,116.445,39.885,0.088,0.066,0.021,0.123,0.105,0.024,0.035,0.106,0.043,0.077,0.033,0.086,0.074,0.119
95,116.455,39.885,0.067,0.081,0.071,0.124,0.051,0.01,0.021,0.089,0.046,0.052,0.051,0.177,0.058,0.101
96,116.465,39.885,0.1,0.075,0.09,0.066,0.055,0.03,0.035,0.104,0.062,0.048,0.054,0.096,0.091,0.095
97,116.475,39.885,0.049,0.105,0.095,0.103,0.067,0.005,0.044,0.09,0.07,0.045,0.138,0.052,0.07,0.066
98,116.485,39.885,0.065,0.12,0.082,0.036,0.045,0.0,0.119,0.037,0.039,0.218,0.126,0.018,0.019,0.076
99,116.495,39.885,0.046,0.088,0.094,0.126,0.041,0.0,0.261,0.079,0.05,0.047,0.083,0.052,0.0,0.035
100,116.255,39.895,0.103,0.049,0.058,0.044,0.103,0.022,0.065,0.144,0.08,0.103,0.0,0.102,0.023,0.103
101,116.265,39.895,0.096,0.0,0.061,0.077,0.186,0.0,0.162,0.055,0.05,0.056,0.039,0.182,0.014,0.021
102,116.275,39.895,0.058,0.085,0.042,0.055,0.067,0.0,0.101,0.099,0.036,0.143,0.064,0.141,0.04,0.07
103,116.285,39.895,0.139,0.098,0.074,0.035,0.126,0.0,0.13,0.047,0.073,0.015,0.124,0.058,0.046,0.034
104,116.295,39.895,0.088,0.033,0.098,0.058,0.099,0.0,0.064,0.071,0.064,0.053,0.082,0.174,0.031,0.085
105,116.305,39.895,0.067,0.077,0.102,0.129,0.078,0.024,0.085,0.058,0.093,0.022,0.097,0.084,0.042,0.043
106,116.315,39.895,0.128,0.047,0.078,0.084,0.061,0.043,0.044,0.065,0.043,0.065,0.017,0.15,0.066,0.111
107,116.325,39.895,0.091,0.0,0.058,0.078,0.104,0.038,0.028,0.09,0.078,0.054,0.137,0.119,0.055,0.07
108,116.335,39.895,0.078,0.051,0.043,0.076,0.076,0.139,0.047,0.084,0.07,0.057,0.019,0.132,0.043,0.088
109,116.345,39.895,0.092,0.025,0.053,0.062,0.113,0.102,0.074,0.101,0.069,0.052,0.016,0.117,0.064,0.062
